Treatment;Strain;Repetition;Concentration ppm;Replicate;Day;Colony diameter ;CD
Ziram;S20;3;10;;7;27;22
Ziram;S8;3;10;;7;26,5;21,5
Ziram;S23;3;50;;7;25;20
Ziram;S20;3;50;;7;25,5;20,5
Ziram;S8;3;50;;7;24;19
Ziram;S23;3;100;;7;19;14
Ziram;S20;3;100;;7;20,5;15,5
Ziram;S8;3;100;;7;20;15
Timorex;S23;1;0;1;7;58;53
Timorex;S23;1;0;2;7;60;55
Timorex;S23;1;0;3;7;61;56
Timorex;S20;1;0;1;7;57;52
Timorex;S20;1;0;2;7;58;53
Timorex;S20;1;0;3;7;57;52
Timorex;S8;1;0;1;7;55;50
Timorex;S8;1;0;2;7;55;50
Timorex;S8;1;0;3;7;57;52
Timorex;S23;1;1000;1;7;14;9
Timorex;S23;1;1000;2;7;14;9
Timorex;S23;1;1000;3;7;14,5;9,5
Timorex;S20;1;1000;1;7;13;8
Timorex;S20;1;1000;2;7;13;8
Timorex;S20;1;1000;3;7;13;8
Timorex;S8;1;1000;1;7;11;6
Timorex;S8;1;1000;2;7;11;6
Timorex;S8;1;1000;3;7;11;6
Timorex;S23;1;500;1;7;34;29
Timorex;S23;1;500;2;7;33,5;28,5
Timorex;S23;1;500;3;7;33;28
Timorex;S20;1;500;1;7;28;23
Timorex;S20;1;500;2;7;27;22
Timorex;S20;1;500;3;7;27;22
Timorex;S8;1;500;1;7;29;24
Timorex;S8;1;500;2;7;29;24
Timorex;S8;1;500;3;7;30;25
Timorex;S23;1;100;1;7;38;33
Timorex;S23;1;100;2;7;39;34
Timorex;S23;1;100;3;7;41;36
Timorex;S20;1;100;1;7;35;30
Timorex;S20;1;100;2;7;34,5;29,5
Timorex;S20;1;100;3;7;33;28
Timorex;S8;1;100;1;7;37;32
Timorex;S8;1;100;2;7;33;28
Timorex;S8;1;100;3;7;34;29
Timorex;S23;1;10;1;7;43,5;38,5
Timorex;S23;1;10;2;7;44,5;39,5
Timorex;S23;1;10;3;7;44,5;39,5
Timorex;S20;1;10;1;7;40;35
Timorex;S20;1;10;2;7;40;35
Timorex;S20;1;10;3;7;41;36
Timorex;S8;1;10;1;7;40;35
Timorex;S8;1;10;2;7;39;34
Timorex;S8;1;10;3;7;38;33
Timorex;S23;1;1;1;7;47;42
Timorex;S23;1;1;2;7;48;43
Timorex;S23;1;1;3;7;47;42
Timorex;S20;1;1;1;7;43;38
Timorex;S20;1;1;2;7;42;37
Timorex;S20;1;1;3;7;41;36
Timorex;S8;1;1;1;7;41;36
Timorex;S8;1;1;2;7;40;35
Timorex;S8;1;1;3;7;40;35
Timorex;S23;1;0,1;1;7;57;52
Timorex;S23;1;0,1;2;7;58;53
Timorex;S23;1;0,1;3;7;58;53
Timorex;S20;1;0,1;1;7;49;44
Timorex;S20;1;0,1;2;7;51;46
Timorex;S20;1;0,1;3;7;50;45
Timorex;S8;1;0,1;1;7;49;44
Timorex;S8;1;0,1;2;7;52;47
Timorex;S8;1;0,1;3;7;51;46
Timorex;S23;2;0;1;7;57,9;52,9
Timorex;S23;2;0;2;7;60,2;55,2
Timorex;S23;2;0;3;7;60,7;55,7
Timorex;S20;2;0;1;7;56,8;51,8
Timorex;S20;2;0;2;7;57,9;52,9
